,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
985,Giving Up On - Alan Dixon Remix,54SGVJ4xSCRha8ViDwy7MU,0.698,0.687,1,-8.559,1,0.046,0.000817,0.117,0.0351,118.017,54SGVJ4xSCRha8ViDwy7MU,452567,2
986,Naked,1EzfgoY8TVuHrX402tzK7D,0.869,0.811,1,-5.037,1,0.0359,0.00281,0.000223,0.114,120.051,1EzfgoY8TVuHrX402tzK7D,218973,1
987,Happy Man,1oSDiyNMslJoTCfUZBHNP2,0.594,0.516,9,-7.848,0,0.0316,0.198,2.91e-05,0.0736,108.017,1oSDiyNMslJoTCfUZBHNP2,191530,1
988,Happy Man,1oSDiyNMslJoTCfUZBHNP2,0.594,0.516,9,-7.848,0,0.0316,0.198,2.91e-05,0.0736,108.017,1oSDiyNMslJoTCfUZBHNP2,191530,1
989,Supernature,2b0yYpClBrvfAAtuKTjRUL,0.606,0.927,10,-7.505,0,0.0453,0.00129,0.438,0.0836,122.819,2b0yYpClBrvfAAtuKTjRUL,375804,2
990,Supernature,2b0yYpClBrvfAAtuKTjRUL,0.606,0.927,10,-7.505,0,0.0453,0.00129,0.438,0.0836,122.819,2b0yYpClBrvfAAtuKTjRUL,375804,2
991,Judge Not - Ray Mang Special Mix,2YHJzj4F8WR7mJRum9ufvz,0.787,0.668,9,-5.509,0,0.0439,0.0259,0.327,0.0724,112.003,2YHJzj4F8WR7mJRum9ufvz,477227,2
992,Africa Ni Leo - Esa Extended Mix,3RCFnaNkzlx1gR4uV1swGK,0.842,0.539,5,-12.813,0,0.0756,0.314,0.729,0.105,100.018,3RCFnaNkzlx1gR4uV1swGK,467480,2
993,All In A Dream,11SEKnYpFCFRXnUap3Cso2,0.705,0.524,2,-9.776,0,0.032,0.112,0.26,0.109,119.987,11SEKnYpFCFRXnUap3Cso2,230016,1
994,Free,6kAOOamDflxqkrAWI6wZRR,0.699,0.638,10,-9.81,1,0.0381,0.511,0.0255,0.0742,87.987,6kAOOamDflxqkrAWI6wZRR,327867,0
995,Un Verano Sin Ti,18HOjcvTVV7W8YzBuOsAPS,0.503,0.496,5,-9.123,0,0.0556,0.693,0.0,0.123,187.844,18HOjcvTVV7W8YzBuOsAPS,148143,1
996,Downtown,6CS2VZem8trycECb9mEGK0,0.77,0.802,7,-7.558,1,0.0355,0.158,0.0427,0.0983,104.997,6CS2VZem8trycECb9mEGK0,285714,0
997,Peur des filles - Montmartre Remix,6xRK103p6gJYRMf1knKanW,0.767,0.777,1,-6.36,0,0.0924,0.0979,0.0133,0.0562,108.053,6xRK103p6gJYRMf1knKanW,166107,1
998,Grateful,5vrDVz3Q90OAuYoQxP0PJg,0.825,0.587,7,-7.976,1,0.0368,0.000369,0.00797,0.0587,117.439,5vrDVz3Q90OAuYoQxP0PJg,211147,1
999,Welcome Theremin,3OFfOUuQLbwl673WCtpPkc,0.967,0.498,2,-9.336,1,0.0513,0.0111,0.91,0.101,126.394,3OFfOUuQLbwl673WCtpPkc,185824,1
1000,Tippa My Tongue,7BCxIjRsqbc9Yiy2haBCIK,0.573,0.913,5,-6.52,0,0.0409,0.00861,0.0273,0.114,88.418,7BCxIjRsqbc9Yiy2haBCIK,260810,0
1001,A bite of papaya,2jwKTqnvzrhj4b6Dhm07lW,0.743,0.741,7,-5.717,1,0.0415,0.121,0.0692,0.0836,107.958,2jwKTqnvzrhj4b6Dhm07lW,257033,0
1002,A bite of papaya,2jwKTqnvzrhj4b6Dhm07lW,0.743,0.741,7,-5.717,1,0.0415,0.121,0.0692,0.0836,107.958,2jwKTqnvzrhj4b6Dhm07lW,257033,0
1003,Santa Catarina,0Rk5Ma0d9pQac2elQWky1Z,0.848,0.691,6,-7.627,1,0.186,0.238,0.135,0.109,115.976,0Rk5Ma0d9pQac2elQWky1Z,422069,2
1004,Santa Catarina,0Rk5Ma0d9pQac2elQWky1Z,0.848,0.691,6,-7.627,1,0.186,0.238,0.135,0.109,115.976,0Rk5Ma0d9pQac2elQWky1Z,422069,2
1005,Don't Turn It Off - Greg Wilson Edit,30NLTeJ3HVX2iVyAVtrLHM,0.9,0.473,9,-9.081,1,0.0853,0.147,0.814,0.172,116.995,30NLTeJ3HVX2iVyAVtrLHM,387873,2
