,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1507,0.683,0.488,9,-11.309,0,0.0321,0.00735,0.866,0.123,0.113,110.993,audio_features,61r7nhS0hlGJeQXDHy58pL,spotify:track:61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/tracks/61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/audio-analysis/61r7nhS0hlGJeQXDHy58pL,368586,4
1508,0.726,0.752,6,-7.457,0,0.0355,0.000174,0.864,0.0494,0.559,124.001,audio_features,2Sg2XPNmvoxBBVoiMZIZX9,spotify:track:2Sg2XPNmvoxBBVoiMZIZX9,https://api.spotify.com/v1/tracks/2Sg2XPNmvoxBBVoiMZIZX9,https://api.spotify.com/v1/audio-analysis/2Sg2XPNmvoxBBVoiMZIZX9,470529,4
1509,0.811,0.684,7,-8.512,1,0.063,0.00435,0.914,0.0368,0.65,122.008,audio_features,4MBi2Nry64OPYJQXFL5Vqa,spotify:track:4MBi2Nry64OPYJQXFL5Vqa,https://api.spotify.com/v1/tracks/4MBi2Nry64OPYJQXFL5Vqa,https://api.spotify.com/v1/audio-analysis/4MBi2Nry64OPYJQXFL5Vqa,552787,4
1510,0.753,0.855,1,-10.631,1,0.0394,0.000814,0.772,0.0427,0.273,117.998,audio_features,2LVr6WQ6W7B3i8CeWFjcLP,spotify:track:2LVr6WQ6W7B3i8CeWFjcLP,https://api.spotify.com/v1/tracks/2LVr6WQ6W7B3i8CeWFjcLP,https://api.spotify.com/v1/audio-analysis/2LVr6WQ6W7B3i8CeWFjcLP,488171,4
1511,0.614,0.484,0,-12.812,1,0.0545,0.208,0.368,0.694,0.142,118.996,audio_features,0Gw6cy3dhYmdKUiXxeS4ve,spotify:track:0Gw6cy3dhYmdKUiXxeS4ve,https://api.spotify.com/v1/tracks/0Gw6cy3dhYmdKUiXxeS4ve,https://api.spotify.com/v1/audio-analysis/0Gw6cy3dhYmdKUiXxeS4ve,259147,4
1512,0.717,0.802,11,-7.692,1,0.0336,0.000949,0.902,0.104,0.413,123.022,audio_features,1bfc2lTiFENLgJMV2PzLMU,spotify:track:1bfc2lTiFENLgJMV2PzLMU,https://api.spotify.com/v1/tracks/1bfc2lTiFENLgJMV2PzLMU,https://api.spotify.com/v1/audio-analysis/1bfc2lTiFENLgJMV2PzLMU,554174,4
1513,0.753,0.762,10,-9.634,0,0.0402,0.00513,0.713,0.111,0.398,119.985,audio_features,0J6sIxiH8kg1gIhIX1nihQ,spotify:track:0J6sIxiH8kg1gIhIX1nihQ,https://api.spotify.com/v1/tracks/0J6sIxiH8kg1gIhIX1nihQ,https://api.spotify.com/v1/audio-analysis/0J6sIxiH8kg1gIhIX1nihQ,420000,4
1514,0.664,0.617,7,-10.996,1,0.0431,0.00316,0.921,0.0673,0.308,114.006,audio_features,3XTCqywF4MEf0Wv7uREhLY,spotify:track:3XTCqywF4MEf0Wv7uREhLY,https://api.spotify.com/v1/tracks/3XTCqywF4MEf0Wv7uREhLY,https://api.spotify.com/v1/audio-analysis/3XTCqywF4MEf0Wv7uREhLY,289785,3
1515,0.828,0.346,10,-13.438,0,0.0667,0.255,0.837,0.102,0.419,115.99,audio_features,7AkSOSJdUvNTcPsJhogee8,spotify:track:7AkSOSJdUvNTcPsJhogee8,https://api.spotify.com/v1/tracks/7AkSOSJdUvNTcPsJhogee8,https://api.spotify.com/v1/audio-analysis/7AkSOSJdUvNTcPsJhogee8,383213,4
1516,0.656,0.633,4,-10.972,0,0.0426,0.0215,0.756,0.0845,0.411,117.0,audio_features,1UgMLFmeVyphjePcN1TNpq,spotify:track:1UgMLFmeVyphjePcN1TNpq,https://api.spotify.com/v1/tracks/1UgMLFmeVyphjePcN1TNpq,https://api.spotify.com/v1/audio-analysis/1UgMLFmeVyphjePcN1TNpq,443509,4
1517,0.742,0.74,8,-8.471,1,0.0438,0.00671,0.145,0.0788,0.0876,108.001,audio_features,64IO8aZm70ZEFEs9UHxmdz,spotify:track:64IO8aZm70ZEFEs9UHxmdz,https://api.spotify.com/v1/tracks/64IO8aZm70ZEFEs9UHxmdz,https://api.spotify.com/v1/audio-analysis/64IO8aZm70ZEFEs9UHxmdz,471780,4
1518,0.74,0.796,4,-8.058,0,0.0548,0.00721,0.0813,0.0552,0.456,123.002,audio_features,3ClI73uMLpm7APGRTqUyOK,spotify:track:3ClI73uMLpm7APGRTqUyOK,https://api.spotify.com/v1/tracks/3ClI73uMLpm7APGRTqUyOK,https://api.spotify.com/v1/audio-analysis/3ClI73uMLpm7APGRTqUyOK,440976,4
1519,0.656,0.589,5,-12.332,0,0.0493,0.321,0.532,0.104,0.155,121.003,audio_features,3aWPdd6U1xbsIEGEpUaPyQ,spotify:track:3aWPdd6U1xbsIEGEpUaPyQ,https://api.spotify.com/v1/tracks/3aWPdd6U1xbsIEGEpUaPyQ,https://api.spotify.com/v1/audio-analysis/3aWPdd6U1xbsIEGEpUaPyQ,448984,4
1520,0.822,0.523,10,-9.275,0,0.0494,0.000316,0.897,0.0659,0.476,125.0,audio_features,5HDemTuGF4mIq9hAJMBd8s,spotify:track:5HDemTuGF4mIq9hAJMBd8s,https://api.spotify.com/v1/tracks/5HDemTuGF4mIq9hAJMBd8s,https://api.spotify.com/v1/audio-analysis/5HDemTuGF4mIq9hAJMBd8s,491973,4
1521,0.676,0.604,5,-7.078,0,0.0443,0.00262,0.8,0.106,0.421,123.006,audio_features,0bU7RBZ1tkm8XXZzDrdsMC,spotify:track:0bU7RBZ1tkm8XXZzDrdsMC,https://api.spotify.com/v1/tracks/0bU7RBZ1tkm8XXZzDrdsMC,https://api.spotify.com/v1/audio-analysis/0bU7RBZ1tkm8XXZzDrdsMC,380864,3
1522,0.76,0.669,5,-9.105,0,0.285,0.0757,0.0194,0.77,0.214,112.023,audio_features,0v1g5U1OAb0XBjKyA8R36i,spotify:track:0v1g5U1OAb0XBjKyA8R36i,https://api.spotify.com/v1/tracks/0v1g5U1OAb0XBjKyA8R36i,https://api.spotify.com/v1/audio-analysis/0v1g5U1OAb0XBjKyA8R36i,196071,4
1523,0.839,0.469,7,-13.45,1,0.128,0.056,0.51,0.225,0.0629,107.979,audio_features,6xyI1uGdIPNQFNJYPjhzlQ,spotify:track:6xyI1uGdIPNQFNJYPjhzlQ,https://api.spotify.com/v1/tracks/6xyI1uGdIPNQFNJYPjhzlQ,https://api.spotify.com/v1/audio-analysis/6xyI1uGdIPNQFNJYPjhzlQ,501067,4
1524,0.803,0.576,1,-11.388,0,0.051,0.00332,0.917,0.0721,0.203,122.008,audio_features,2DxlImGfZPKLLhqqEl1nbW,spotify:track:2DxlImGfZPKLLhqqEl1nbW,https://api.spotify.com/v1/tracks/2DxlImGfZPKLLhqqEl1nbW,https://api.spotify.com/v1/audio-analysis/2DxlImGfZPKLLhqqEl1nbW,334762,3
1525,0.918,0.308,11,-13.281,0,0.111,0.243,0.569,0.182,0.261,124.007,audio_features,5UMJApLYStWICCpF9iC5tH,spotify:track:5UMJApLYStWICCpF9iC5tH,https://api.spotify.com/v1/tracks/5UMJApLYStWICCpF9iC5tH,https://api.spotify.com/v1/audio-analysis/5UMJApLYStWICCpF9iC5tH,411230,4
1526,0.747,0.749,9,-8.974,0,0.0374,0.229,0.329,0.394,0.61,107.994,audio_features,2koUDRc930eXFk8rf56SfJ,spotify:track:2koUDRc930eXFk8rf56SfJ,https://api.spotify.com/v1/tracks/2koUDRc930eXFk8rf56SfJ,https://api.spotify.com/v1/audio-analysis/2koUDRc930eXFk8rf56SfJ,216667,4
1527,0.632,0.714,6,-13.228,0,0.0411,0.0456,0.651,0.132,0.0641,99.988,audio_features,6170lJSBtiM5trzOtHtdD2,spotify:track:6170lJSBtiM5trzOtHtdD2,https://api.spotify.com/v1/tracks/6170lJSBtiM5trzOtHtdD2,https://api.spotify.com/v1/audio-analysis/6170lJSBtiM5trzOtHtdD2,308742,4
1528,0.922,0.585,1,-7.191,1,0.0475,0.0191,0.14,0.0656,0.567,128.511,audio_features,65bBVS4NqiJ3wsPojURE6r,spotify:track:65bBVS4NqiJ3wsPojURE6r,https://api.spotify.com/v1/tracks/65bBVS4NqiJ3wsPojURE6r,https://api.spotify.com/v1/audio-analysis/65bBVS4NqiJ3wsPojURE6r,312840,4
1529,0.858,0.599,9,-9.374,0,0.0495,0.0123,0.961,0.0424,0.642,122.003,audio_features,5MDVgUhQ5i273BBEQFtptT,spotify:track:5MDVgUhQ5i273BBEQFtptT,https://api.spotify.com/v1/tracks/5MDVgUhQ5i273BBEQFtptT,https://api.spotify.com/v1/audio-analysis/5MDVgUhQ5i273BBEQFtptT,287402,4
1530,0.552,0.892,4,-7.991,0,0.0389,0.00019,0.651,0.163,0.0715,124.999,audio_features,1vk5NG0J6yuI3PdZtsEnXk,spotify:track:1vk5NG0J6yuI3PdZtsEnXk,https://api.spotify.com/v1/tracks/1vk5NG0J6yuI3PdZtsEnXk,https://api.spotify.com/v1/audio-analysis/1vk5NG0J6yuI3PdZtsEnXk,552960,4
1531,0.74,0.674,11,-7.651,0,0.104,0.534,0.00769,0.355,0.607,101.977,audio_features,2NTZ1nzUqueH7odDcjLq5s,spotify:track:2NTZ1nzUqueH7odDcjLq5s,https://api.spotify.com/v1/tracks/2NTZ1nzUqueH7odDcjLq5s,https://api.spotify.com/v1/audio-analysis/2NTZ1nzUqueH7odDcjLq5s,221813,4
1532,0.716,0.917,6,-5.091,1,0.0331,0.123,0.396,0.0628,0.751,124.032,audio_features,4O3APpGNhOldqDsPF8IaS5,spotify:track:4O3APpGNhOldqDsPF8IaS5,https://api.spotify.com/v1/tracks/4O3APpGNhOldqDsPF8IaS5,https://api.spotify.com/v1/audio-analysis/4O3APpGNhOldqDsPF8IaS5,160669,4
1533,0.869,0.562,10,-10.546,0,0.0684,0.0168,0.596,0.117,0.507,115.02,audio_features,4pl6jSbip4nb10NX2xAEnx,spotify:track:4pl6jSbip4nb10NX2xAEnx,https://api.spotify.com/v1/tracks/4pl6jSbip4nb10NX2xAEnx,https://api.spotify.com/v1/audio-analysis/4pl6jSbip4nb10NX2xAEnx,310495,4
1534,0.774,0.819,8,-6.745,0,0.0402,0.000165,0.881,0.0922,0.606,117.999,audio_features,3phBxj9avtQDkWblVg7s02,spotify:track:3phBxj9avtQDkWblVg7s02,https://api.spotify.com/v1/tracks/3phBxj9avtQDkWblVg7s02,https://api.spotify.com/v1/audio-analysis/3phBxj9avtQDkWblVg7s02,235132,3
1535,0.756,0.527,8,-11.861,1,0.0428,0.00201,0.509,0.112,0.248,119.996,audio_features,4dUIinlaify3Z3DAZmPkc7,spotify:track:4dUIinlaify3Z3DAZmPkc7,https://api.spotify.com/v1/tracks/4dUIinlaify3Z3DAZmPkc7,https://api.spotify.com/v1/audio-analysis/4dUIinlaify3Z3DAZmPkc7,416500,4
1536,0.738,0.649,4,-8.157,0,0.0387,0.182,0.868,0.177,0.482,117.994,audio_features,29A54bY2rjNImKOxt7oKhs,spotify:track:29A54bY2rjNImKOxt7oKhs,https://api.spotify.com/v1/tracks/29A54bY2rjNImKOxt7oKhs,https://api.spotify.com/v1/audio-analysis/29A54bY2rjNImKOxt7oKhs,400713,4
1537,0.689,0.598,6,-11.177,0,0.032,0.00857,0.764,0.144,0.287,120.004,audio_features,2VIe5CnoDarbQZxDXfnWCS,spotify:track:2VIe5CnoDarbQZxDXfnWCS,https://api.spotify.com/v1/tracks/2VIe5CnoDarbQZxDXfnWCS,https://api.spotify.com/v1/audio-analysis/2VIe5CnoDarbQZxDXfnWCS,388065,4
1538,0.709,0.82,10,-9.667,0,0.0362,0.00133,0.778,0.0746,0.116,120.002,audio_features,1iUnhEgrBjppyk1Lzf3sX3,spotify:track:1iUnhEgrBjppyk1Lzf3sX3,https://api.spotify.com/v1/tracks/1iUnhEgrBjppyk1Lzf3sX3,https://api.spotify.com/v1/audio-analysis/1iUnhEgrBjppyk1Lzf3sX3,529760,4
1539,0.86,0.512,6,-9.277,1,0.0525,0.0917,0.889,0.0919,0.237,114.002,audio_features,5cPkKWedtNGlXW4sUdAgvz,spotify:track:5cPkKWedtNGlXW4sUdAgvz,https://api.spotify.com/v1/tracks/5cPkKWedtNGlXW4sUdAgvz,https://api.spotify.com/v1/audio-analysis/5cPkKWedtNGlXW4sUdAgvz,427103,4
